partNumber,found,fileUuid,refId,bucketName
65,True,v3/2024/Revision2/EROLLGEN/S04/WP/29/p-65_649f3eac-822d-44a2-a49a-1bd02c17e3e7.pdf,2024-FC-EROLLGEN-S04-29-FinalRoll-Revision2-HIN-65-WI.pdf,tcsecidels3arc-eroll-s04-bihar
66,True,v3/2024/Revision2/EROLLGEN/S04/WP/29/p-66_b56abe34-6e51-4db2-a153-9de87dbf1d08.pdf,2024-FC-EROLLGEN-S04-29-FinalRoll-Revision2-HIN-66-WI.pdf,tcsecidels3arc-eroll-s04-bihar
67,True,v3/2024/Revision2/EROLLGEN/S04/WP/29/p-67_74b8178b-df06-41a6-9d12-26807467852e.pdf,2024-FC-EROLLGEN-S04-29-FinalRoll-Revision2-HIN-67-WI.pdf,tcsecidels3arc-eroll-s04-bihar
68,True,v3/2024/Revision2/EROLLGEN/S04/WP/29/p-68_69196e94-70c6-4d50-8e4d-8ec777e8be65.pdf,2024-FC-EROLLGEN-S04-29-FinalRoll-Revision2-HIN-68-WI.pdf,tcsecidels3arc-eroll-s04-bihar
69,True,v3/2024/Revision2/EROLLGEN/S04/WP/29/p-69_e611e376-90de-4d1c-89bd-a5cfc9aadb70.pdf,2024-FC-EROLLGEN-S04-29-FinalRoll-Revision2-HIN-69-WI.pdf,tcsecidels3arc-eroll-s04-bihar
70,True,v3/2024/Revision2/EROLLGEN/S04/WP/29/p-70_5c311a99-4790-43a9-a3d8-7fd791b37ea9.pdf,2024-FC-EROLLGEN-S04-29-FinalRoll-Revision2-HIN-70-WI.pdf,tcsecidels3arc-eroll-s04-bihar
71,True,v3/2024/Revision2/EROLLGEN/S04/WP/29/p-71_ce046ba7-6e9c-4ac9-bbb6-54e4d0fde854.pdf,2024-FC-EROLLGEN-S04-29-FinalRoll-Revision2-HIN-71-WI.pdf,tcsecidels3arc-eroll-s04-bihar
72,True,v3/2024/Revision2/EROLLGEN/S04/WP/29/p-72_bb3bc131-45f3-4105-bf5a-b05e38d63b9e.pdf,2024-FC-EROLLGEN-S04-29-FinalRoll-Revision2-HIN-72-WI.pdf,tcsecidels3arc-eroll-s04-bihar
73,True,v3/2024/Revision2/EROLLGEN/S04/WP/29/p-73_73612526-ed38-42ff-84ad-1cba734c6d76.pdf,2024-FC-EROLLGEN-S04-29-FinalRoll-Revision2-HIN-73-WI.pdf,tcsecidels3arc-eroll-s04-bihar
74,True,v3/2024/Revision2/EROLLGEN/S04/WP/29/p-74_41079341-c2f6-4e2e-8644-189518513c41.pdf,2024-FC-EROLLGEN-S04-29-FinalRoll-Revision2-HIN-74-WI.pdf,tcsecidels3arc-eroll-s04-bihar
